area_type,availability,location,size,society,dist_mainroad,street_type,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Reodsnc,175,Paved,1770,3.0,3.0,100.0
Plot  Area,Ready To Move,Immadihalli,2 Bedroom,,28,No Access,900,3.0,1.0,105.0
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,137,Paved,1350,5.0,1.0,120.0
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,149,Paved,1447,2.0,1.0,75.97
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,,129,No Access,1140,2.0,1.0,60.0
Super built-up  Area,18-Jul,Bommanahalli,2 BHK,,44,Paved,1170,2.0,3.0,34.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,,177,No Access,1160,2.0,2.0,46.39
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soena A,193,Gravel,1296,2.0,1.0,89.0
Built-up  Area,Ready To Move,Kempapura,3 BHK,Vaenev ,191,No Access,1570,3.0,2.0,80.0
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,Ablmsol,114,Gravel,1495,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,Shyalha,55,Gravel,1530,2.0,2.0,67.0
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,,66,Gravel,900,4.0,0.0,140.0
Super built-up  Area,Ready To Move,Gunjur,3 BHK,Paestol,167,No Access,1800,3.0,1.0,70.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,DSpazTo,20,Gravel,1088,2.0,2.0,48.0
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,152,Paved,1533,3.0,1.0,98.18
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,195,Paved,1100,2.0,1.0,68.0
Built-up  Area,Ready To Move,Thubarahalli,3 BHK,Asnts a,109,Paved,1540,3.0,3.0,90.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Jancyes,81,Gravel,1244,3.0,,48.0
Super built-up  Area,19-Mar,Hosa Road,2 BHK,Skume R,119,Gravel,1040,2.0,1.0,68.59
Built-up  Area,Ready To Move,Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,6 BHK,,196,Paved,1034,6.0,2.0,101.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,103,Paved,1260,2.0,1.0,39.69
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shony S,127,No Access,1180,2.0,1.0,41.3
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,162,No Access,1245,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Dollars Colony,3 BHK,,187,No Access,1350,3.0,0.0,75.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,98,No Access,1464,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Alur,1 BHK,,175,Paved,470,2.0,1.0,10.0
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,,179,Paved,920,2.0,2.0,60.0
Built-up  Area,Ready To Move,Vijay Nagar,6 Bedroom,,48,No Access,2300,7.0,0.0,160.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,DSousyl,149,No Access,1124,2.0,1.0,30.35
Super built-up  Area,19-Sep,Yelahanka New Town,4 BHK,,186,Paved,2095,3.0,1.0,109.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,52,Gravel,1100,2.0,1.0,71.42
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Smentha,196,Paved,1019,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,138,No Access,1756,3.0,2.0,128.0
Super built-up  Area,18-May,Bommasandra,3 BHK,SSestth,156,Gravel,1280,3.0,1.0,50.0
Plot  Area,Ready To Move,Kenchenahalli,4 Bedroom,,93,No Access,1200,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,,88,Gravel,1700,3.0,2.0,150.0
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,7,No Access,2134,4.0,2.0,118.0
Super built-up  Area,18-Jun,Hosa Road,2 BHK,Sosisic,109,Paved,1369.1,2.0,1.0,98.0
Plot  Area,Ready To Move,Subramanyapura,3 Bedroom,,41,Paved,600,3.0,1.0,69.0
Plot  Area,Ready To Move,Hennur Bande,3 Bedroom,,12,No Access,1313,4.0,,150.0
Super built-up  Area,Ready To Move,Carmelaram,3 BHK,DSensn ,81,Paved,2515,4.0,3.0,155.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,28,Paved,2215,4.0,2.0,154.0
Super built-up  Area,Ready To Move,Basapura,3 BHK,Amageru,5,Gravel,1440,3.0,2.0,72.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,5,No Access,1186,2.0,2.0,55.33
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,68,No Access,1350,2.0,2.0,47.24
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Chtert ,0,Paved,1800,3.0,2.0,140.0
Built-up  Area,Ready To Move,Kudlu,3 BHK,GKityde,154,Paved,1600,3.0,3.0,79.0
Built-up  Area,Ready To Move,GM Palaya,2 BHK,Srg Bnc,69,Gravel,1000,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,,184,Gravel,2275,3.0,3.0,285.0
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,51,Gravel,1305,2.0,1.0,59.0
Super built-up  Area,20-Jan,Binny Pete,3 BHK,She 2rk,82,Paved,1740,3.0,1.0,150.0
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,,144,Paved,900,2.0,1.0,90.0
Built-up  Area,Ready To Move,Benson Town,2 BHK,Gohts H,77,Gravel,1567,3.0,0.0,140.0
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,162,Gravel,1082,2.0,1.0,45.5
Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,33,No Access,1050,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Atmananda Colony,2 BHK,,100,Gravel,1200,2.0,1.0,56.0
Built-up  Area,Ready To Move,Begur,3 Bedroom,Duity C,37,Gravel,3500,4.0,2.0,185.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,123,No Access,1220,2.0,2.0,52.0
Super built-up  Area,18-Apr,Binny Pete,3 BHK,,7,Paved,1970,3.0,2.0,164.0
Super built-up  Area,20-Dec,CMH Road,3 BHK,,36,No Access,2665,3.0,1.0,350.0
Built-up  Area,Ready To Move,Kanakapura,4 BHK,,71,Paved,2130,4.0,0.0,120.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,,125,Gravel,1749,3.0,2.0,120.0
Super built-up  Area,18-Jun,Subramanyapura,2 BHK,,91,No Access,1260,2.0,1.0,108.0
Super built-up  Area,Ready To Move,Doddaballapur,3 BHK,,49,No Access,1100Sq. Meter,2.0,1.0,48.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,NCierar,133,Gravel,1170,2.0,2.0,120.0
Super built-up  Area,Ready To Move,Ankappa Layout,3 BHK,Ajens G,6,Paved,1670,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,49,Gravel,2264,3.0,2.0,168.0
Super built-up  Area,15-Oct,Byadarahalli,4 BHK,ETntsce,25,No Access,3500,5.0,,450.0
Super built-up  Area,Ready To Move,Begur,2 BHK,Viodspr,116,Gravel,1100,2.0,2.0,55.0
Super built-up  Area,18-Dec,Chandapura,2 BHK,,119,Gravel,674,1.0,1.0,19.9
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,14,Gravel,1320,2.0,1.0,160.0
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,,183,Paved,600,4.0,2.0,85.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,PSmalsh,69,Gravel,1125,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Nagavara,2 BHK,,49,Paved,1125,2.0,2.0,44.5
Super built-up  Area,Ready To Move,Baba Nagar,2 BHK,,54,Gravel,700,2.0,1.0,29.0
Built-up  Area,Ready To Move,BTM Layout,3 BHK,Lancya ,139,No Access,1300,2.0,1.0,75.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,Meowns ,67,Gravel,1600,3.0,2.0,83.0
Super built-up  Area,18-Aug,Magadi Road,3 BHK,Vrenty ,65,No Access,1052,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Neelasandra,4 BHK,,57,No Access,1140,3.0,1.0,145.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Ladenea,149,Paved,1130,2.0,2.0,36.0
Plot  Area,Ready To Move,Yediyur,4 Bedroom,,126,No Access,1140,3.0,2.0,225.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,193,Paved,2200,3.0,3.0,220.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,189,No Access,1500,2.0,1.0,63.0
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,Shmes O,197,Paved,1350,3.0,1.0,47.25
Super built-up  Area,Ready To Move,Gottigere,3 BHK,MBireap,160,Paved,1230,2.0,2.0,52.0
Super built-up  Area,18-Apr,Haralur Road,3 BHK,SNnia E,126,Gravel,1520,2.0,2.0,85.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,99,Gravel,525,1.0,1.0,26.25
Super built-up  Area,20-Oct,Hosa Road,2 BHK,Skume R,75,Gravel,1040,2.0,1.0,61.0
Built-up  Area,Ready To Move,Upadhyaya Layout,3 BHK,,91,Paved,1300,2.0,1.0,67.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,54,No Access,2690,4.0,3.0,201.0
Super built-up  Area,Ready To Move,Domlur,1 BHK,Saiewas,75,No Access,780,1.0,1.0,70.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Saite G,174,No Access,1140,2.0,1.0,51.2
Super built-up  Area,19-Jan,Chandapura,3 BHK,SuVue S,142,Gravel,1225,3.0,1.0,33.08
Built-up  Area,Ready To Move,Nagavarapalya,1 BHK,MYncysi,139,Gravel,646,1.0,0.0,25.84
Super built-up  Area,Ready To Move,Cox Town,3 BHK,,89,Gravel,1600,3.0,1.0,150.0
Super built-up  Area,18-Apr,Kadugodi,3 BHK,Alestrb,199,Gravel,1890,4.0,3.0,125.0
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,65,Gravel,1050,2.0,1.0,34.0
Plot  Area,Ready To Move,Ittamadu,6 Bedroom,,100,Gravel,1200,4.0,2.0,100.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BMttaor,147,Gravel,1458,2.0,2.0,62.0
Plot  Area,Ready To Move,Naganathapura,5 Bedroom,,7,Paved,1200,6.0,0.0,86.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,,39,No Access,1970,3.0,2.0,160.0
Plot  Area,Ready To Move,Whitefield,3 Bedroom,,186,Gravel,1808,4.0,0.0,80.0
Built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,198,Paved,1007,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,M ondit,47,Paved,1105,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1,No Access,1700,3.0,3.0,150.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Dehts H,114,No Access,1170,2.0,3.0,50.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,GCbowai,5,Gravel,1080,2.0,3.0,45.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,60,Gravel,1150,2.0,1.0,62.0
Super built-up  Area,19-Jul,Ramamurthy Nagar,2 BHK,Vaharvi,121,No Access,1200,2.0,1.0,57.9
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,109,No Access,1200,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,34,Gravel,1656,3.0,2.0,75.0
Plot  Area,18-Apr,bsk 6th stage 2ad block near sri conversation hall,4 Bedroom,,74,Paved,600,4.0,2.0,87.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,15,Gravel,1040,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Collsrn,45,Paved,1085,2.0,2.0,33.7
Super built-up  Area,18-Apr,Virat Nagar,3 BHK,,185,Paved,1215,2.0,2.0,49.75
Built-up  Area,Ready To Move,NRI Layout,4 Bedroom,,194,Paved,2150,4.0,2.0,115.0
Plot  Area,Ready To Move,Hoodi,4 Bedroom,Kreera ,134,Gravel,1100,4.0,1.0,120.0
Super built-up  Area,18-Feb,Panathur,2 BHK,,167,Paved,1210,2.0,1.0,77.0
Built-up  Area,Ready To Move,Kallumantapa,2 BHK,SMncyy ,109,Paved,1050,2.0,1.0,55.0
Plot  Area,Ready To Move,"Annapoorneshwari Layout, JP nagar 7th phase",3 Bedroom,,40,Paved,600,3.0,1.0,70.0
Super built-up  Area,18-Aug,Iblur Village,3 BHK,DNionfl,80,No Access,1920,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,150,No Access,1250,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,89,No Access,947.55,2.0,1.0,80.0
Built-up  Area,Ready To Move,Malleshpalya,2 BHK,KencyRe,172,Paved,1421,2.0,1.0,90.0
Plot  Area,Ready To Move,Mudalpalaya,6 Bedroom,,169,Gravel,1050,4.0,2.0,155.0
Super built-up  Area,18-May,Old Madras Road,3 BHK,Saesttt,32,Gravel,1425,2.0,2.0,74.31
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,115,Paved,1162,2.0,1.0,58.0
Super built-up  Area,18-Jul,Whitefield,1 BHK,Prtates,128,Gravel,905,1.0,1.0,60.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,31,Paved,914,2.0,1.0,32.0
Built-up  Area,18-Apr,elachenahalli,2 BHK,,143,Paved,1258,2.0,0.0,58.0
Plot  Area,Ready To Move,CV Raman Nagar,4 Bedroom,,166,Gravel,1100,4.0,2.0,220.0
Plot  Area,Ready To Move,Hormavu,4 Bedroom,Prageta,70,Paved,3500,4.0,1.0,289.0
Plot  Area,Ready To Move,Poorna Pragna Layout,7 Bedroom,,134,Gravel,2400,6.0,,450.0
Built-up  Area,Ready To Move,Ramagondanahalli,4 Bedroom,,92,Gravel,4200,4.0,,800.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BMttaor,111,Paved,1537,2.0,3.0,70.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,74,Gravel,1230,2.0,2.0,53.51
Plot  Area,Ready To Move,B K Nagar,6 Bedroom,,95,Paved,2400,5.0,2.0,300.0
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Aimesya,168,Paved,2250,3.0,1.0,200.0
Plot  Area,Ready To Move,Hosur Road,4 Bedroom,KrineAq,35,No Access,2000,4.0,1.0,69.0
Super built-up  Area,Ready To Move,Vivek Nagar,8 BHK,,138,Gravel,3000,4.0,3.0,130.0
Built-up  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,,179,No Access,2600,4.0,0.0,325.0
Built-up  Area,16-Sep,Indira Nagar,4 Bedroom,,1,Gravel,3200,3.0,2.0,250.0
Built-up  Area,Ready To Move,Anjanapura,2 BHK,ACopsva,82,Paved,950,2.0,0.0,32.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,94,No Access,4000,4.0,,200.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,84,No Access,1282,2.0,1.0,48.72
Built-up  Area,18-Apr,Banashankari Stage III,2 BHK,,193,Gravel,1304,2.0,0.0,111.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,185,Paved,2100,3.0,2.0,200.0
Built-up  Area,Ready To Move,Jakkur,3 BHK,Paurt C,51,Paved,1220,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,0,Paved,1636,3.0,2.0,85.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Kaiew L,164,Gravel,1415,3.0,1.0,65.0
Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,70,No Access,15Acres,3.0,1.0,217.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,23,Paved,1728,3.0,2.0,125.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,30,No Access,1680,3.0,3.0,125.0
Super built-up  Area,19-Dec,Venkatapura,2 BHK,ThBayah,64,No Access,1235,2.0,1.0,140.0
Plot  Area,18-May,Yelachenahalli,4 Bedroom,,59,Gravel,900,2.0,1.0,115.0
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,,8,Paved,3990,4.0,1.0,260.0
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,57,No Access,1495,2.0,2.0,83.0
Plot  Area,Ready To Move,Hennur Road,5 Bedroom,,20,No Access,1500,5.0,1.0,175.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,39,No Access,2501,3.0,3.0,138.0
Carpet  Area,20-Dec,Kanakpura Road,1 BHK,Roiti A,34,Gravel,381,1.0,0.0,28.0
Super built-up  Area,19-Mar,Gopalapura,4 BHK,Sothadr,138,No Access,3301.8,5.0,2.0,570.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,164,Gravel,2002,3.0,2.0,120.0
Built-up  Area,17-Mar,Meenakunte,3 Bedroom,Sreat R,128,No Access,3200,3.0,0.0,260.0
Plot  Area,Ready To Move,Banjara Layout,2 Bedroom,,100,No Access,1200,2.0,2.0,70.0
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,134,No Access,1500,3.0,0.0,235.0
Plot  Area,17-Sep,Bommasandra,3 Bedroom,IcudiMa,179,Gravel,1942,3.0,,90.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shitt S,53,No Access,1450 - 1595,,,60.75
Built-up  Area,Ready To Move,Thyagaraja Nagar,1 Bedroom,,163,No Access,660,1.0,0.0,95.0
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,,139,No Access,1200,6.0,2.0,170.0
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,Itala A,31,Gravel,1450,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MDonta ,118,Gravel,1039,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,51,No Access,1210,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Attibele,2 BHK,DSvar S,182,Paved,995,1.0,1.0,24.88
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,112,Gravel,1620,3.0,2.0,90.0
Built-up  Area,Ready To Move,Choodasandra,3 Bedroom,LGlarAs,26,Paved,3204,4.0,3.0,395.0
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,53,No Access,3408,3.0,3.0,260.0
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Kames S,36,Paved,1314,2.0,3.0,55.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,177,No Access,945,2.0,1.0,33.0
Built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Undge T,57,Paved,1374,3.0,2.0,72.0
Built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,167,Paved,1603,3.0,3.0,113.0
Built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,55,Paved,1230,2.0,2.0,52.0
Super built-up  Area,Ready To Move, Basavangudi,1 RK,,28,Paved,670,1.0,1.0,50.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,149,Gravel,1864,3.0,2.0,105.0
Built-up  Area,18-Jan,Hosa Road,3 Bedroom,Gllas V,7,Paved,2500,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,DScon S,94,No Access,1625,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,178,Gravel,1186,2.0,3.0,55.0
Plot  Area,Ready To Move,KR Puram,8 Bedroom,,149,No Access,1500,7.0,2.0,382.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,43,Gravel,770,1.0,1.0,39.9
Super built-up  Area,18-Feb,Varthur,2 BHK,HioraTr,98,Paved,1085,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,Soeurri,117,Paved,3754,6.0,2.0,480.0
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,Ciques ,126,Paved,1893,3.0,2.0,115.0
Plot  Area,Ready To Move,Thurahalli,4 Bedroom,,52,Gravel,600,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,AnentAp,19,Paved,1496,2.0,3.0,78.0
Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,2,Gravel,1305,3.0,1.0,33.28
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Shiaa S,18,Gravel,1550,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,67,Gravel,1200,2.0,1.0,58.17
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,104,Gravel,1494,2.0,2.0,94.55
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,191,Paved,1286,2.0,2.0,69.0
Plot  Area,Ready To Move,"Banashankari 6th stage , 2nd block",3 Bedroom,,92,Gravel,600,4.0,1.0,100.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,MVkleiw,68,No Access,1860,3.0,2.0,95.0
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,107,Paved,425,1.0,1.0,750.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,136,Paved,1243,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Stlomg ,61,Gravel,1200,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Peles P,110,No Access,1044,2.0,2.0,32.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,23,Gravel,1040,2.0,1.0,41.59
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,,166,No Access,1125,2.0,2.0,36.94
Super built-up  Area,19-Jul,Cunningham Road,3 BHK,,171,Paved,3489,3.0,1.0,662.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,191,No Access,1278,2.0,2.0,59.0
Super built-up  Area,Ready To Move,Chelekare,6 BHK,,51,Gravel,2400,6.0,,98.0
Super built-up  Area,Ready To Move,Belatur,2 BHK,ViaarSa,180,Paved,1250,2.0,1.0,43.0
Plot  Area,Ready To Move,Vijayanagar,5 Bedroom,,174,Gravel,2400,6.0,3.0,125.0
Plot  Area,Ready To Move,KR Puram,5 Bedroom,Henue A,110,Paved,4166,5.0,,560.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,,178,No Access,1210,2.0,2.0,75.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,,137,Paved,1200,3.0,2.0,110.0
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,AsastDe,144,Gravel,1157,2.0,1.0,57.84
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,136,No Access,1185,2.0,1.0,51.15
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,88,No Access,1450,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Sastaat,194,No Access,1859,3.0,2.0,121.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,PhestOn,48,No Access,1763,3.0,2.0,262.0
Super built-up  Area,17-Sep,Attibele,2 BHK,Inenshe,89,No Access,900,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,Foghaa ,136,Paved,1305,3.0,1.0,60.0
Built-up  Area,Ready To Move,Srirampuram,3 BHK,,150,Paved,1200,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Gontsoo,7,No Access,763 - 805,1.0,0.0,35.285
Plot  Area,Immediate Possession,Kasavanhalli,,,90,Paved,5000,,,400.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,153,Gravel,1150,2.0,0.0,36.8
Built-up  Area,Ready To Move,Whitefield,3 BHK,Agtiaur,113,Paved,1806,3.0,3.0,85.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,78,No Access,1027,2.0,2.0,42.0
Super built-up  Area,19-Jul,Uttarahalli,2 BHK,DSera S,132,Gravel,1002,2.0,1.0,40.08
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,Sryalan,65,No Access,1220,2.0,1.0,36.21
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,89,Gravel,1109,2.0,1.0,35.22
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,DSera S,156,Paved,1002,2.0,1.0,40.08
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,AriosHe,59,Gravel,1308,2.0,1.0,89.04
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,95,Gravel,1232,2.0,1.0,69.6
Super built-up  Area,18-Apr,Haralur Road,2 BHK,,94,Paved,1027,2.0,2.0,44.0
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,,189,Gravel,1250,2.0,2.0,65.0
Plot  Area,Ready To Move,2nd Phase JP Nagar,6 Bedroom,,181,Gravel,900,6.0,3.0,170.0
Plot  Area,Ready To Move,KR Puram,4 Bedroom,,45,Paved,960,4.0,2.0,80.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,128,Paved,1255,2.0,1.0,53.87
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,200,Gravel,1434,3.0,3.0,84.0
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vabow R,77,No Access,925,2.0,2.0,30.0
Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,7,No Access,1858,3.0,1.0,123.0
Built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Vithm R,6,No Access,1205,2.0,1.0,70.0
Plot  Area,18-Jul,Nelamangala,3 Bedroom,V2gesre,44,Paved,1500,3.0,2.0,90.0
Plot  Area,Ready To Move,Nagawara Junction,3 Bedroom,,63,Paved,1200,3.0,2.0,200.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,66,Paved,1020,2.0,2.0,48.95
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,34,Paved,965,2.0,1.0,56.0
Plot  Area,Ready To Move,7th Phase JP Nagar,5 Bedroom,,71,No Access,1800,6.0,3.0,270.0
Plot  Area,Ready To Move,Hoysalanagar,6 Bedroom,,127,Paved,1200,4.0,2.0,90.0
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,PaontWa,191,Paved,1636,2.0,2.0,82.89
Super built-up  Area,18-Dec,Kundalahalli,3 BHK,Dieldli,43,No Access,1724,3.0,1.0,125.0
Super built-up  Area,18-Oct,Whitefield,2 BHK,Prtates,141,Gravel,1216,2.0,1.0,67.0
Super built-up  Area,18-Feb,Yelahanka,1 BHK,Prensya,158,Gravel,654,1.0,1.0,36.25
